"","Var1","Freq"
"1","Alabama",39
"2","Alberta",15
"3","Arizona",27
"4","Arkansas",35
"5","Buskerud",2
"6","California",237
"7","Central Denmark Region",1
"8","Colorado",40
"9","Connecticut",30
"10","Cyprus",1
"11","Delaware",11
"12","District of Columbia",16
"13","England",21
"14","Florida",99
"15","Georgia",68
"16","Idaho",7
"17","Illinois",74
"18","Indiana",56
"19","Iowa",30
"20","Jalisco",2
"21","Kansas",85
"22","Kentucky",43
"23","Louisiana",57
"24","Maine",11
"25","Malta",1
"26","Manitoba",5
"27","Maryland",45
"28","Massachusetts",43
"29","Michigan",64
"30","Minnesota",28
"31","Mississippi",15
"32","Missouri",67
"33","Montana",6
"34","Nebraska",9
"35","Nevada",17
"36","New Hampshire",12
"37","New Jersey",54
"38","New Mexico",12
"39","New York",176
"40","North Carolina",67
"41","North Dakota",6
"42","Ohio",95
"43","Oklahoma",59
"44","Ontario",68
"45","Oregon",32
"46","Pennsylvania",85
"47","Quebec",14
"48","Rhode Island",11
"49","Saint Joseph Parish",1
"50","Saskatchewan",4
"51","Scotland",1
"52","South Carolina",36
"53","South Dakota",3
"54","State Not Found",204
"55","Stockholm County",1
"56","Tennessee",49
"57","Texas",204
"58","Utah",21
"59","Vermont",9
"60","Virginia",77
"61","Wales",1
"62","Wallonia",2
"63","Washington",42
"64","West Virginia",19
"65","Western Finland",2
"66","Wisconsin",28
"67","Wyoming",5
"68","Zahlé District",1
"69","British Columbia",3
"70","Community of Madrid",1
"71","Guam",1
"72","Sonora",1
"73","Thessaly - Central Greece",2
"74","Alta Verapaz",1
"75","Bangkok",1
"76","Central Hungary",1
"77","Lazio",1
"78","Łódź Voivodeship",1
"79","North Holland",1
"80","North Rhine-Westphalia",1
"81","Nova Scotia",1
"82","Obwalden",2
"83","South Lower California",1
"84","Utrecht",1
"85","Aguascalientes",1
"86","Mexico City",1
"87","Puebla",1
Alabama , 0 , 0
Alaska , 0 , 0
Arizona , 0 , 0
Arkansas , 0 , 0
California , 0 , 0
Colorado , 0 , 0
Connecticut , 0 , 0
Delaware , 0 , 0
Florida , 0 , 0
Georgia , 0 , 0
Hawaii , 0 , 0
Idaho , 0 , 0
Illinois , 0 , 0
Indiana , 0 , 0
Iowa , 0 , 0
Kansas , 0 , 0
Kentucky , 0 , 0
Louisiana , 0 , 0
Maine , 0 , 0
Maryland , 0 , 0
Massachusetts , 0 , 0
Michigan , 0 , 0
Minnesota , 0 , 0
Mississippi , 0 , 0
Missouri , 0 , 0
Montana , 0 , 0
Nebraska , 0 , 0
Nevada , 0 , 0
New Hampshire , 0 , 0
New Jersey , 0 , 0
New Mexico , 0 , 0
New York , 0 , 0
North Carolina , 0 , 0
North Dakota , 0 , 0
Ohio , 0 , 0
Oklahoma , 0 , 0
Oregon , 0 , 0
Pennsylvania , 0 , 0
Rhode Island , 0 , 0
South Carolina , 0 , 0
South Dakota , 0 , 0
Tennessee , 0 , 0
Texas , 0 , 0
Utah , 0 , 0
Vermont , 0 , 0
Virginia , 0 , 0
Washington , 0 , 0
West Virginia , 0 , 0
Wisconsin , 0 , 0
Wyoming , 0 , 0
Alabama , 0 , 0
Alaska , 0 , 0
Arizona , 0 , 0
Arkansas , 0 , 0
California , 0 , 0
Colorado , 0 , 0
Connecticut , 0 , 0
Delaware , 0 , 0
Florida , 0 , 0
Georgia , 0 , 0
Hawaii , 0 , 0
Idaho , 0 , 0
Illinois , 0 , 0
Indiana , 0 , 0
Iowa , 0 , 0
Kansas , 0 , 0
Kentucky , 0 , 0
Louisiana , 0 , 0
Maine , 0 , 0
Maryland , 0 , 0
Massachusetts , 0 , 0
Michigan , 0 , 0
Minnesota , 0 , 0
Mississippi , 0 , 0
Missouri , 0 , 0
Montana , 0 , 0
Nebraska , 0 , 0
Nevada , 0 , 0
New Hampshire , 0 , 0
New Jersey , 0 , 0
New Mexico , 0 , 0
New York , 0 , 0
North Carolina , 0 , 0
North Dakota , 0 , 0
Ohio , 0 , 0
Oklahoma , 0 , 0
Oregon , 0 , 0
Pennsylvania , 0 , 0
Rhode Island , 0 , 0
South Carolina , 0 , 0
South Dakota , 0 , 0
Tennessee , 0 , 0
Texas , 0 , 0
Utah , 0 , 0
Vermont , 0 , 0
Virginia , 0 , 0
Washington , 0 , 0
West Virginia , 0 , 0
Wisconsin , 0 , 0
Wyoming , 0 , 0
